File Name,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Mean Spectral Brightness,Mean Spectral Roughness,Mean Spectral Entropy,Rolloff,RMS Energy,LowEnergy,ZCR,Spectral Centroid,Spectral Flux,Spectral Flatness,Harmonic Ratio,Spectral Skewness,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12,bpm,Sub-Band-Flux1,Sub-Band-Flux2,Sub-Band-Flux3,Sub-Band-Flux4,Sub-Band-Flux5,Sub-Band-Flux6,Sub-Band-Flux7,Sub-Band-Flux8,Sub-Band-Flux9,Sub-Band-Flux10
95.wav,1.983604,-0.083190,0.112077,-0.524817,-0.206765,0.183725,0.311988,0.351080,0.094864,-0.239977,-0.258417,0.038558,0.284398,0.474584,600.827404,0.762361,8449.763489,0.070258,0.4576271348.620690,3891.058206,89.269142,0.136551,0.434836,1.365513,0.292624,0.281325,0.627966,0.202114,0.173953,0.185953,0.291486,1.000000,0.326738,0.355464,0.371613,0.674223,118.274583,7.032605,12.349615,11.144525,5.483526,13.434898,11.264785,6.337570,4.516583,3.943415,2.789013,21.332357
12.wav,2.293213,0.395593,0.689308,0.186572,-0.370813,0.056737,0.238341,0.257236,0.147941,0.027350,-0.042412,-0.007337,0.027935,0.286179,1739.776662,0.736254,6673.947144,0.071990,0.525424555.517241,2668.783913,139.549891,0.087176,0.436854,1.595314,0.394345,0.331043,0.395229,0.456227,0.423301,0.808467,0.413704,0.459595,0.680902,0.582873,1.000000,0.549050,136.995217,34.037945,27.622312,20.208316,13.426096,22.159690,14.197770,14.321560,17.383905,17.266937,8.683498,8.081095
21.wav,-0.562590,1.147509,-0.336280,0.291455,0.650195,0.331218,0.625309,0.259910,0.239883,0.226139,0.256610,0.054415,-0.121855,0.710952,1010.324570,0.844503,10244.757843,0.068979,0.5254241285.000000,6276.510732,161.040312,0.194292,0.453473,0.448818,0.284886,0.532946,0.334837,0.872594,0.295632,0.797299,0.254791,0.227996,0.581350,0.838384,1.000000,0.421022,131.126437,20.470973,16.613807,5.396439,7.719053,5.046844,7.718493,6.688225,11.925436,8.609063,6.397240,4.078165
48.wav,1.584455,0.191829,0.472006,0.051194,0.015832,0.090015,0.217655,0.140236,-0.012962,0.043871,0.174530,0.101710,0.150126,0.471615,823.763475,0.804298,10449.996185,0.069210,0.6779661392.758621,4401.020177,157.856576,0.230147,0.441607,1.088785,1.000000,0.591845,0.583332,0.738886,0.791592,0.740794,0.663695,0.766878,0.577768,0.522564,0.563909,0.679487,150.966503,4.616824,45.266448,137.556160,102.805464,55.813908,30.517265,16.985069,17.896529,15.939777,9.653601,4.256732
05.wav,1.231005,0.400365,0.497551,0.045578,0.288001,0.281693,0.210061,0.038018,0.028565,0.080182,0.095047,0.054583,-0.050905,0.595513,809.048268,0.853209,9723.587036,0.069699,0.5762711458.793103,4280.756523,130.830976,0.256582,0.460805,1.158694,0.690223,0.533027,0.509313,0.649951,0.351693,0.505362,0.359687,1.000000,0.915284,0.947017,0.909066,0.696853,126.007518,19.865324,16.783344,35.602968,63.901715,37.136201,73.568764,21.539786,12.299407,15.009017,14.059212,19.489773
34.wav,3.202381,-0.417171,0.870959,-0.357380,0.082198,-0.300654,-0.076391,-0.079410,-0.206685,-0.309304,-0.159969,0.054688,-0.019804,0.214127,893.049474,0.683315,2547.983551,0.068494,0.474576322.586207,1280.186371,93.361081,0.058841,0.394652,3.812334,0.416247,0.813406,0.246491,0.473162,0.245484,0.257446,1.000000,0.309797,0.872900,0.593704,0.388459,0.840295,105.669583,70.224081,59.399913,71.558797,54.657071,24.576891,93.492372,137.866017,65.344090,36.733538,49.294118,98.745336
07.wav,4.829096,-0.030696,0.012041,0.096502,0.565643,0.210895,0.138113,-0.007310,-0.035219,-0.066934,0.023047,0.140857,0.367999,0.152740,896.014564,0.673173,1171.204376,0.061270,0.593220574.655172,917.045862,101.935413,0.059168,0.423182,4.565440,0.662806,1.000000,0.957586,0.634427,0.619098,0.374498,0.478878,0.833768,0.691117,0.796077,0.682306,0.942838,NaN,1.338255,1.625071,1.298108,0.699317,1.114789,12.062494,91.005568,79.661337,38.114607,84.533710,12.990911
33.wav,1.734666,0.510945,0.330091,0.477758,0.299435,0.034457,-0.103711,-0.153969,-0.098669,0.126956,0.258817,0.142713,-0.002139,0.560359,1243.202154,0.838286,11528.675079,0.068093,0.5593222089.827586,5124.752849,141.967725,0.145706,0.463898,0.512861,0.413163,0.377787,0.702032,0.346903,0.380334,0.356053,0.381785,1.000000,0.618999,0.602808,0.414668,0.557895,137.341394,79.312422,56.996661,28.413841,9.117411,4.241610,1.833560,7.034963,18.974023,55.166311,64.525788,44.993869
14.wav,1.042701,0.684636,0.986249,0.130570,0.143014,0.301072,-0.159920,0.221285,-0.041494,-0.294896,-0.112609,0.219964,0.294246,0.601197,1364.828393,0.817614,10306.665802,0.070022,0.5932202037.931034,4666.627930,144.585281,0.134916,0.420840,0.679187,0.593066,0.478586,0.615729,0.333297,0.445498,0.543703,0.231140,0.672734,0.759126,0.733444,1.000000,0.411239,145.708098,32.455559,38.118671,30.798181,34.729972,6.671751,9.881570,2.187428,16.988323,33.193623,45.980263,19.520158
99.wav,1.219061,0.145165,0.461912,0.164086,0.351227,0.294644,-0.013267,0.052503,0.394693,0.436276,0.078834,-0.150193,-0.351359,0.526783,454.180154,0.808916,8098.166656,0.067738,0.6271191209.827586,3519.552289,126.662388,0.135380,0.459308,1.075207,1.000000,0.795421,0.451032,0.500319,0.437315,0.855405,0.300368,0.339696,0.924697,0.723815,0.953582,0.612306,129.396412,36.359829,124.576583,61.014620,71.497738,40.605982,16.150606,16.701859,11.137661,8.147220,24.823385,107.197785
